name,product_url,postal_code,city
Het Paard van Troje,https://libris.nl/paardvantroje/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,4461 JP,Goes
Blz. Boekhandel Buitelaar,https://libris.nl/buitelaar/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5051 NP,Goirle
Boekhandel Struik,https://libris.nl/boekhandelstruik/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,7471 BL,Goor
De Boekenkist,https://libris.nl/de-boekenkist/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,4201 KA,Gorinchem
Planteyn Boeken,https://libris.nl/planteyn/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,8401 DE,Gorredijk
Primera Boekhandel Beren,https://libris.nl/boekhandel-beren/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,9714 DW,Groningen
Primera Boekhandel Paddepoel,https://libris.nl/boekhandelpaddepoel/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,9742 AK,Groningen
Van der Velde Boeken Groningen A-kerkhof,https://www.vanderveldeboeken.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,9712 BC,Groningen
Van der Velde Boeken Groningen Grote Markt,https://www.vanderveldeboeken.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,9712 HV,Groningen
Primera Boekhandel Grootegast,https://libris.nl/boekhandelgrootegast/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,9861 AK,Grootegast
Boek en Buro Haaksbergen,https://libris.nl/boek-en-buro/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,7481 HX,Haaksbergen
De Vries Van Stockum (Haarlem),https://libris.nl/devriesvanstockum-boeken/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2011 GK,Haarlem
Kennemer Boekhandel,https://libris.nl/kennemerboekhandel/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2023 CA,Haarlem
Boekhandel Heijink,https://libris.nl/boekhandelheijink/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,7772 AE,Hardenberg
Boomker Boeken,https://libris.nl/boomker/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,9751 AM,Haren
Van der Velde Boeken Harlingen,https://www.vanderveldeboeken.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,8861 BM,Harlingen
Boekhandel Blokker,https://libris.nl/blokker/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2101 JP,Heemstede
Boekhandel Binnert Overdiep,https://www.binnertoverdiep.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,8442 BS,Heerenveen
Boekhandel Dominicanen Heerlen,https://www.boekhandeldominicanen.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,6411 JK,Heerlen
Boekhandel Heesch,https://libris.nl/boekhandelheesch/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5384 AN,Heesch
Boek en Kantoor De Ganzenveer,https://libris.nl/ganzenveer/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5701 PZ,Helmond
Kantoorboekhandel Peter Swaanen,https://libris.nl/peterswaanen/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5081 CL,Hilvarenbeek
Boekhandel Voorhoeve,https://libris.nl/voorhoeve/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1211 CR,Hilversum
Boekhandel Hoevelaken,https://libris.nl/boekhandelhoevelaken/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3871 AM,Hoevelaken
Boekhandel Stevens,https://libris.nl/stevens/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2132 CM,Hoofddorp
Pet Boekverkopers,https://libris.nl/pet-boekverkopers/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,7901 JV,Hoogeveen
Boekhandel Stumpel Hoorn (Grote Noord),https://www.stumpel.nl/zanger-ronald-zingt-de-blues-9789048853366,1621 KG,Hoorn
Boekhandel Stumpel Hoorn (Huesmolen),https://www.stumpel.nl/zanger-ronald-zingt-de-blues-9789048853366,1625 HZ,Hoorn
Boekhandel Flevo,https://libris.nl/flevo/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1271 RR,Huizen
Boekhandel Remortel - Hulst,https://libris.nl/remortel-hulst/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,4561 EJ,Hulst
Boekhandel Holtrop,https://libris.nl/boekhandelholtrop/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,8501 AS,Joure
Boekhandel Lectori,https://libris.nl/lectori/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,4421 AC,Kapelle
