name,url,postal_code,city
Van der Velde Boeken Leeuwarden,https://www.vanderveldeboeken.nl,8911 CJ,Leeuwarden
Boekhandel Kooyker,https://libris.nl/kooyker,2311 CK,Leiden
Primera Kopermolen,https://libris.nl/kopermolen,2317 PA,Leiden
Primera Boekhandel Lemmer,https://libris.nl/boekhandel-lemmer,8531 EA,Lemmer
Boekhandel Rosetta,https://libris.nl/boekhandelrosetta,3831 NC,Leusden
Kantoorboekhandel Meneer Kees,https://libris.nl/meneerkees,7131 DH,Lichtenvoorde
Boekhandel Lovink,https://libris.nl/lovink,7241 AA,Lochem
Boekhandel Sprankenis,https://libris.nl/sprankenis,6026 CP,Maarheeze
Boek & Koek,https://libris.nl/boekenkoek/,3951 CH,Maarn
Boekhandel Dominicanen,https://www.boekhandeldominicanen.nl/,6211 CZ,Maastricht
Boek- en Kantoorvakhandel Prins,https://libris.nl/prins,7475 AX,Markelo
Boekhandel Stumpel Medemblik,https://www.stumpel.nl,1671 BG,Medemblik
De Drvkkery,https://drukkerijmiddelburg.nl,4331 LK,Middelburg
Boek - en kantoorvakhandel Dekker - Van Esbroek,https://libris.nl/dekker-vanesbroek,3241 GA,Middelharnis
Nimo Boek,https://libris.nl/nimoboek,1141 BG,Monnickendam
Boekhandel Roodbeen,https://libris.nl/roodbeen,3861 AB,Nijkerk
Dekker v.d. Vegt Boekverkopers,https://www.libris.nl/dekker-vd-vegt,6511 PX,Nijmegen
Kantoorboekhandel Jacobs,https://libris.nl/jacobs,6531 HE,Nijmegen
Boekhandel Spithoff,https://libris.nl/boekhandelspithoff,7442 NJ,Nijverdal
Boekhandel Van der Meer,https://libris.nl/vandermeer,2201 MB,Noordwijk
Westerhof Nunspeet,https://libris.nl/westerhofboeken-jufferenwal,8071 BZ,Nunspeet
Rijnlandse Boekhandel,https://libris.nl/rijnlandseboekhandel,2343 CB,Oegstgeest
Boekhandel Oisterwijk,https://libris.nl/boekhandeloisterwijk,5061 EJ,Oisterwijk
Primera Korten Olst,https://libris.nl/korten,8121 BK,Olst
Boekhandel Meijer & Siegers,https://libris.nl/meijerensiegers,6862 AX,Oosterbeek
Het Verboden Rijk,https://libris.nl/hetverbodenrijk-oosterhout,4901 JK,Oosterhout
Boekhandel Derijks,https://libris.nl/derijks,5341 CK,Oss
Boekhandel Sprey,https://libris.nl/boekhandelsprey,1191 BG,Ouderkerk aan de Amstel
Primera Panningen,https://libris.nl/boekhandel-panningen,5981 AP,Panningen
Kantoorboekhandel Van Atten (Pijnacker),https://libris.nl/vanattenboek,2641 EN,Pijnacker
Boekhandel Stumpel Purmerend,https://www.stumpel.nl,1441 BB,Purmerend
Het Leesteken,https://libris.nl/leesteken,1441 BD,Purmerend
Bij Arie Lees | schrijf | kadoshop,https://libris.nl/bij-arie,3297 BM,Puttershoek
Boekhandel De Ridderhof,https://libris.nl/deridderhof,2981 ET,Ridderkerk
Boekhandel Daan Nijman,https://www.daannijman.nl,9301 AE,Roden
Veenerick Boek en Kantoor,https://www.veenerick.nl,2371 DA,Roelofarendsveen
De Boekenwurm (Afhaalpunt Boekhandel Quist),https://libris.nl/quistboeken,4701 JP,Roosendaal
Kantoorboekhandel Kortendijk,https://libris.nl/kortendijk-tolberg,4706 LA,Roosendaal
Kantoorboekhandel Tolberg,https://libris.nl/kortendijk-tolberg,4708 HK,Roosendaal
Boekhandel De Omslag,https://libris.nl/deomslag,5241 TJ,Rosmalen
Boekhandel Donner,https://www.donner.nl,3012 AG,Rotterdam
Boekhandel Maximus,https://libris.nl/maximushillegersberg,3054 GG,Rotterdam
Relay Rotterdam Centraal Hal,https://libris.nl/relay,3013 AJ,Rotterdam
Relay Rotterdam Centraal Passage,https://libris.nl/relay,3013 AJ,Rotterdam
Bredero Boeken,https://libris.nl/bredero,2071 EP,Santpoort-Noord
Boekhandel Plukker,https://boekhandelplukker.nl/,1741 GB,Schagen
Pagina Plukker - Makadocentrum (afhaalpunt Boekhandel Plukker),https://boekhandelplukker.nl/,1741 JA,Schagen
De Spijker Boek en Gemak,https://libris.nl/despijkerboekengemak,5374 AC,Schaijk
Primera Boekhandel Scherpenzeel,https://libris.nl/boekhandel-scherpenzeel,3925 KC,Scherpenzeel
Post Scriptum,https://libris.nl/postscriptum,3121 CA,Schiedam
Boekhandel Simpelveld,https://boekhandelsimpelveld.nl,6369 AW,Simpelveld
La Livy Boek & Cadeau,https://libris.nl/lalivy,5271 AW,Sint-Michielgestel
Boekhandel Sint-Oedenrode,https://libris.nl/boekhandelsintoedenrode,5492 AT,Sint-Oedenrode
PeZZi PaZZi,https://www.pezzipazzi.nl,1381 BA,WEESP
Boekhandel Remortel - Sluis,https://libris.nl/remortel-sluis,4524 EC,Sluis
Van der Velde Boeken Sneek,https://www.vanderveldeboeken.nl,8601 CM,Sneek
Boekhandel Van de Ven,https://libris.nl/vandeven,3768 EJ,Soest
Boekhandel Someren,https://libris.nl/boekhandelsomeren,5711 EN,Someren
De Traverse,https://libris.nl/detraverse,5691 AD,Son en Breugel
Firma P.A. Vermeulen,https://libris.nl/vermeulenboekhandel,4651 BL,Steenbergen
Primera Blz. Steenwijk's Boekhuys,https://libris.nl/steenwijk,8331 HD,Steenwijk
Boekhandel Schouten,https://libris.nl/boekhandelschouten,3291 AJ,Strijen
